cutoff,window,with_freqs,stride,model,metric,mean_score,std_score
20,150,True,75,SVM,precision_macro,0.997872340425532,0.004255319148936199
20,150,True,75,SVM,accuracy,0.9975308641975309,0.004938271604938294
20,150,True,75,SVM,f1_macro,0.9974754558204768,0.005049088359046294
20,150,True,75,SVM,recall_macro,0.9971428571428571,0.005714285714285694
10,150,True,75,Random Forest,precision_macro,0.9937907077724708,0.008208409829555965
10,150,True,75,SVM,precision_macro,0.9937056737588652,0.005139933002682932
20,150,True,75,Random Forest,precision_macro,0.9936613475177305,0.005176120771984078
10,150,True,75,SVM,accuracy,0.9926528154170431,0.005999202990496397
20,150,True,75,Random Forest,accuracy,0.9926227040048179,0.006023787827508662
10,150,True,75,SVM,f1_macro,0.9924716419379443,0.006147017560481224
20,150,True,75,Random Forest,f1_macro,0.9924490046996874,0.006165500371590353
20,100,True,50,Random Forest,precision_macro,0.9918693270735524,0.009781518728955838
10,150,True,75,SVM,recall_macro,0.9914285714285714,0.006998542122237627
10,150,True,75,Random Forest,recall_macro,0.9914285714285714,0.011428571428571429
10,50,False,25,Random Forest,accuracy,0.9912318725099603,0.004642900372041221
10,50,False,25,Random Forest,precision_macro,0.991209284040818,0.0038509469473122396
20,150,True,75,Logistic Regression,precision_macro,0.990759878419453,0.009172283370891715
10,100,True,50,Random Forest,precision_macro,0.9906237130384646,0.012168061220127663
10,100,True,50,Random Forest,accuracy,0.9903741935483872,0.01175408092171635
20,150,True,75,Logistic Regression,accuracy,0.9901836796145739,0.009142372215410534
20,100,True,50,Random Forest,f1_macro,0.9901186391773589,0.012098694924673114
10,100,True,50,Random Forest,f1_macro,0.9901186391773589,0.012098694924673114
10,150,True,75,Random Forest,f1_macro,0.9899821819039556,0.009392146305994548
20,150,True,75,Logistic Regression,f1_macro,0.9899661092093428,0.009343208504351053
20,150,True,75,Logistic Regression,recall_macro,0.9893009118541034,0.009560514751755258
20,150,True,75,Random Forest,recall_macro,0.9892546583850932,0.005533181975483232
20,50,False,25,Random Forest,precision_macro,0.9892014048381214,0.004851640513129915
10,100,True,50,Random Forest,recall_macro,0.9888539482879105,0.01360370019275338
20,50,False,25,Random Forest,accuracy,0.9888414342629481,0.006370918514672091
20,100,True,50,Random Forest,accuracy,0.9887612903225806,0.011980309895077932
10,150,True,75,Logistic Regression,precision_macro,0.9886765450861196,0.007936711331618069
10,50,False,25,Random Forest,f1_macro,0.9885960854234235,0.006524057643672968
10,50,False,25,Random Forest,recall_macro,0.9884622571629936,0.004535135546642853
10,50,True,25,Random Forest,precision_macro,0.9879462803228977,0.007367315490025507
20,50,False,25,Random Forest,f1_macro,0.9877841760872166,0.005152516486639907
10,150,True,75,Random Forest,accuracy,0.9877747666365553,0.00771310745099738
10,150,True,75,Logistic Regression,accuracy,0.9877446552243299,0.007713225002871606
20,50,True,25,Random Forest,precision_macro,0.9875520853895237,0.007832513150500247
10,150,True,75,Logistic Regression,f1_macro,0.9874642022680765,0.007882003329909034
20,100,True,50,Random Forest,recall_macro,0.9874253768593391,0.01370522121897075
10,50,True,25,Random Forest,accuracy,0.9872478087649401,0.008122491393082016
10,50,True,25,Random Forest,f1_macro,0.9869446193360696,0.008338271306455685
20,50,False,25,Random Forest,recall_macro,0.9866273947776726,0.006495751937106316
20,100,False,50,Random Forest,recall_macro,0.986445507426108,0.013463493982072871
10,150,True,75,Logistic Regression,recall_macro,0.9864437689969605,0.007932140757389452
20,50,True,25,Random Forest,recall_macro,0.9864092642843127,0.008584028901478828
10,50,True,25,Random Forest,recall_macro,0.9861875637104995,0.010490407469335852
20,100,False,50,Random Forest,accuracy,0.9855354838709678,0.01472078810721079
20,150,False,75,Random Forest,precision_macro,0.9853237241801072,0.005318601892601153
20,150,False,75,Random Forest,accuracy,0.9853056308340861,0.00484840491422979
20,50,True,25,Random Forest,f1_macro,0.9852858179403718,0.01205896928403047
20,50,True,25,Random Forest,accuracy,0.9840605577689242,0.010686802684759827
10,150,False,75,SVM,precision_macro,0.983975543063689,0.0057051769494207896
10,100,False,50,Random Forest,accuracy,0.9839354838709677,0.015199539945937786
20,150,False,75,SVM,precision_macro,0.9832791713913691,0.0052922647631266796
10,150,False,75,Random Forest,accuracy,0.9828666064438423,0.005925448530648854
10,150,False,75,SVM,accuracy,0.9828666064438423,0.005925448530648854
20,150,False,75,SVM,accuracy,0.982836495031617,0.00602454037768054
20,150,False,75,Random Forest,recall_macro,0.9828254261926788,0.009319937003206422
10,150,False,75,SVM,f1_macro,0.9824728352928215,0.006121722139142757
20,150,False,75,SVM,f1_macro,0.9824674064819048,0.0062112146033939854
20,150,False,75,SVM,recall_macro,0.9820959429100039,0.007506540859427175
10,100,False,50,Random Forest,recall_macro,0.9817767541658053,0.01528819950345162
10,150,False,75,SVM,recall_macro,0.9814127130963394,0.006876153776543682
20,100,False,50,Random Forest,precision_macro,0.9808508282398793,0.019167493085163044
10,100,True,50,Logistic Regression,precision_macro,0.9808005088532592,0.011772840575940057
10,100,True,50,Logistic Regression,accuracy,0.9807096774193548,0.011957956176576164
10,150,False,75,Random Forest,precision_macro,0.9805807586929565,0.010131784121388945
20,100,False,50,Random Forest,f1_macro,0.980321213476761,0.016835363611402455
10,100,False,50,Random Forest,f1_macro,0.9803204933224319,0.01513257214419496
10,100,True,50,Logistic Regression,f1_macro,0.9803163596631375,0.012212991687675017
5,50,False,25,Random Forest,precision_macro,0.9802930360798277,0.006079139168995664
5,50,False,25,Random Forest,accuracy,0.9800669322709163,0.004352744096377916
20,150,False,75,Random Forest,f1_macro,0.98002367153654,0.009927148524762624
10,150,False,75,Random Forest,f1_macro,0.9799691092770304,0.010022265174616192
10,150,False,75,Random Forest,recall_macro,0.9799682833355359,0.010149212692289437
10,100,True,50,Logistic Regression,recall_macro,0.979939722190586,0.012693906140525337
5,50,True,25,Random Forest,accuracy,0.9792733067729085,0.007714553887109485
5,150,True,75,Random Forest,precision_macro,0.9790099103662934,0.010281174567005764
5,50,True,25,Random Forest,f1_macro,0.9788661441972843,0.005950142315211869
5,50,True,25,Random Forest,recall_macro,0.9784706327541318,0.005230866035922101
5,50,False,25,Random Forest,recall_macro,0.9782574269135841,0.0061598400082289164
10,100,False,50,Random Forest,precision_macro,0.9780534886467652,0.01649235999941391
5,50,False,25,Random Forest,f1_macro,0.9780149293559186,0.006105105675178564
10,100,True,50,SVM,precision_macro,0.9775787710188453,0.0187309602273238
10,100,True,50,SVM,accuracy,0.977509677419355,0.018507004608065456
5,50,True,25,Random Forest,precision_macro,0.977086291582312,0.0025210457117735775
10,100,True,50,SVM,f1_macro,0.9770409548237925,0.018897227319081045
10,100,True,50,SVM,recall_macro,0.9766645997578763,0.019119845408589672
5,150,True,75,Random Forest,recall_macro,0.9765072757440935,0.008277780808028287
20,50,True,25,SVM,precision_macro,0.9759798635594942,0.013277338592227284
20,100,True,50,SVM,accuracy,0.9758967741935484,0.018231696450496868
20,100,True,50,Logistic Regression,accuracy,0.975883870967742,0.016013230741887298
20,100,True,50,SVM,precision_macro,0.9757209066609811,0.018308523832926027
20,100,True,50,Logistic Regression,precision_macro,0.9757008491255068,0.01565619866101122
5,100,False,50,Random Forest,recall_macro,0.9756794294769314,0.01782978478204752
10,50,True,25,SVM,precision_macro,0.9756097607194203,0.013423406798909571
5,100,False,50,Random Forest,precision_macro,0.975552889139846,0.019323420259092904
5,150,True,75,Random Forest,accuracy,0.9755495332731104,0.015378237540570834
20,100,True,50,SVM,f1_macro,0.9754182120074528,0.01861000733950609
20,100,True,50,Logistic Regression,f1_macro,0.9754002882413477,0.01638081197862027
20,100,True,50,Logistic Regression,recall_macro,0.9752307274815912,0.01699466666018486
20,100,True,50,SVM,recall_macro,0.9751957868806128,0.018944053618929847
5,150,True,75,Random Forest,f1_macro,0.9750496403703861,0.013494087839851673
20,50,True,25,Logistic Regression,precision_macro,0.9747418780341853,0.011041370782726642
10,50,True,25,Logistic Regression,precision_macro,0.9746176697083861,0.011062207631402863
5,100,False,50,Random Forest,accuracy,0.9742838709677419,0.015460713866346041
5,100,True,50,Random Forest,precision_macro,0.9739618272996473,0.01361386479232567
5,100,False,50,Random Forest,f1_macro,0.9737912318064886,0.016617532715599594
5,100,True,50,Random Forest,f1_macro,0.97377040087354,0.012996279576385345
10,50,True,25,SVM,accuracy,0.9736924302788845,0.015235281133266389
20,50,True,25,SVM,accuracy,0.9736892430278885,0.01437980132173605
5,150,False,75,Random Forest,recall_macro,0.9736184162224865,0.01317078267365651
10,50,True,25,SVM,f1_macro,0.9730416212832257,0.015684847392679748
20,50,True,25,SVM,f1_macro,0.9730377306548135,0.014783630098392076
20,50,True,25,Logistic Regression,accuracy,0.9728988047808766,0.012177024136738691
10,50,True,25,Logistic Regression,accuracy,0.9728924302788844,0.012437468551049668
5,100,True,50,Random Forest,accuracy,0.972658064516129,0.011935616389848478
20,50,True,25,Logistic Regression,f1_macro,0.9722496480287642,0.012511137768538355
10,50,True,25,Logistic Regression,f1_macro,0.9722484561381627,0.012794152480373758
5,150,False,75,Random Forest,precision_macro,0.972105548789175,0.015302100249898497
20,100,False,50,SVM,precision_macro,0.9716683446441445,0.020745676573997247
10,50,True,25,SVM,recall_macro,0.9713892982726164,0.01727560166776768
20,100,False,50,SVM,accuracy,0.971058064516129,0.019362131959219882
20,50,True,25,SVM,recall_macro,0.9709324777389128,0.015749615906177367
10,50,True,25,Logistic Regression,recall_macro,0.9706680834539732,0.014111122034342932
5,150,False,75,Random Forest,accuracy,0.9706413730803976,0.012372090050639589
20,100,False,50,SVM,f1_macro,0.9704794012230662,0.019724527867155273
20,50,True,25,Logistic Regression,recall_macro,0.9704562321857839,0.013571583422436353
5,150,False,75,Random Forest,f1_macro,0.9701168118975787,0.012619288780995318
5,150,True,75,Logistic Regression,precision_macro,0.9698930316807575,0.012667083366785353
20,100,False,50,SVM,recall_macro,0.9696656528971171,0.018812275645542883
10,100,False,50,SVM,precision_macro,0.968985696242318,0.01857222521561693
20,150,False,75,Logistic Regression,precision_macro,0.9689380112110311,0.012101044948873926
10,150,False,75,Logistic Regression,precision_macro,0.9688099861131775,0.014474857298075305
5,100,True,50,Random Forest,recall_macro,0.968660361891826,0.009078051667672749
10,100,False,50,SVM,accuracy,0.9678322580645162,0.01678756786921739
10,100,False,50,SVM,f1_macro,0.9671593152647926,0.017078838349584145
10,100,False,50,SVM,recall_macro,0.965927008592435,0.015882041874176796
5,150,True,75,Logistic Regression,accuracy,0.9656127672387834,0.016442761180415454
5,150,True,75,Logistic Regression,f1_macro,0.9645796785181279,0.017183237301800876
20,150,False,75,Logistic Regression,accuracy,0.9632941884974404,0.01537906295501503
10,150,False,75,Logistic Regression,accuracy,0.9632640770852152,0.017290611614857482
20,50,False,25,SVM,precision_macro,0.963052932047753,0.006733961589448633
20,150,False,75,Logistic Regression,f1_macro,0.962082894269843,0.016158258049213132
10,150,False,75,Logistic Regression,f1_macro,0.9620397731104873,0.01809535474942124
5,150,True,75,Logistic Regression,recall_macro,0.9615714432550696,0.01935929119573617
10,50,False,25,SVM,precision_macro,0.9608815622015069,0.007902562493378016
5,150,True,75,SVM,precision_macro,0.9603110383839013,0.01574172070124738
20,50,False,25,SVM,accuracy,0.9601338645418327,0.007532476881142926
20,50,False,25,SVM,f1_macro,0.959121961893336,0.007802123130133509
20,100,False,50,Logistic Regression,precision_macro,0.9587606474345225,0.019137939490443377
10,100,False,50,Logistic Regression,precision_macro,0.9587606474345225,0.019137939490443377
5,100,True,50,SVM,precision_macro,0.9582424128139475,0.018645712932623196
5,150,True,75,SVM,accuracy,0.9582354712436013,0.01857476347774354
20,150,False,75,Logistic Regression,recall_macro,0.958064182194617,0.01811902960970363
10,150,False,75,Logistic Regression,recall_macro,0.957984817115252,0.019872811967413237
10,50,False,25,SVM,accuracy,0.9577434262948208,0.009264026703268749
5,150,True,75,SVM,f1_macro,0.9571442955848113,0.019269566296913967
5,50,True,25,SVM,precision_macro,0.9571163222384307,0.013444815061016434
20,50,False,25,SVM,recall_macro,0.9567901783982673,0.009411216174410856
10,50,False,25,SVM,f1_macro,0.9566339304668252,0.009608304680952003
5,100,True,50,SVM,accuracy,0.9565548387096776,0.016476292683839332
5,150,True,75,SVM,recall_macro,0.9558254408763197,0.021859686034245047
5,100,True,50,SVM,f1_macro,0.9556277813395638,0.016685962131076353
5,50,True,25,SVM,accuracy,0.9553657370517928,0.01496755057970493
20,50,False,25,Logistic Regression,precision_macro,0.955266813844861,0.01071446108183376
20,100,False,50,Logistic Regression,accuracy,0.9549419354838709,0.017995286699363806
10,100,False,50,Logistic Regression,accuracy,0.9549419354838709,0.017995286699363806
5,50,True,25,SVM,f1_macro,0.9542745231101855,0.015440669657125405
5,100,True,50,SVM,recall_macro,0.9542741283480056,0.015318747400215306
10,50,False,25,Logistic Regression,precision_macro,0.9541295741203155,0.010818556527019026
10,50,False,25,SVM,recall_macro,0.9540293900870204,0.01115936007229946
10,100,False,50,Logistic Regression,f1_macro,0.9537186938108937,0.018445733468574685
20,100,False,50,Logistic Regression,f1_macro,0.9537186938108937,0.018445733468574685
5,150,False,75,SVM,precision_macro,0.9532986860121225,0.012325187461044976
5,50,True,25,SVM,recall_macro,0.9526149337494474,0.01696182667319415
5,150,False,75,SVM,accuracy,0.9510388437217705,0.010706036289844414
5,100,False,50,SVM,precision_macro,0.9509218777312146,0.020213465603070503
10,100,False,50,Logistic Regression,recall_macro,0.9505639708270588,0.018069897009704735
20,100,False,50,Logistic Regression,recall_macro,0.9505639708270588,0.018069897009704735
5,150,False,75,SVM,f1_macro,0.9498137088629676,0.010867596009174417
5,100,True,50,Logistic Regression,precision_macro,0.9490334625754417,0.018982030810549194
20,50,False,25,Logistic Regression,accuracy,0.9489816733067731,0.01338975334037039
5,100,False,50,SVM,accuracy,0.9485032258064516,0.01723232448870666
10,50,False,25,Logistic Regression,accuracy,0.9473880478087651,0.014080543357514217
5,100,False,50,SVM,f1_macro,0.9473823774383249,0.017361401161901525
20,50,False,25,Logistic Regression,f1_macro,0.947342791523932,0.014036434087677437
5,150,False,75,SVM,recall_macro,0.9473333773842562,0.01018483881208005
5,100,True,50,Logistic Regression,accuracy,0.9468774193548386,0.01804148762587008
5,150,False,75,Logistic Regression,precision_macro,0.9467738878693867,0.01724554136268573
5,50,True,25,Logistic Regression,precision_macro,0.9461174316700103,0.009527549358792334
5,100,False,50,SVM,recall_macro,0.945866730783021,0.015355971241071239
10,50,False,25,Logistic Regression,f1_macro,0.9456474964778405,0.014793243010874103
5,100,True,50,Logistic Regression,f1_macro,0.9455908257471636,0.01845968294483495
5,50,False,25,SVM,precision_macro,0.9454130092182366,0.016857932643654035
5,100,False,50,Logistic Regression,precision_macro,0.943846967846968,0.018373609243971637
5,100,True,50,Logistic Regression,recall_macro,0.9434962957338721,0.018034411266638614
20,50,False,25,Logistic Regression,recall_macro,0.9430204358198931,0.015538220344886373
5,50,False,25,SVM,accuracy,0.9426103585657369,0.016977652874640592
5,50,True,25,Logistic Regression,accuracy,0.9425944223107571,0.011395028095227659
10,50,False,25,Logistic Regression,recall_macro,0.9411770787013067,0.016629949087067535
5,150,False,75,Logistic Regression,accuracy,0.9411321890996687,0.018094929495165134
5,50,False,25,SVM,f1_macro,0.9411065181256536,0.017462301563210984
5,50,True,25,Logistic Regression,f1_macro,0.940984279297162,0.011892658132667256
5,150,False,75,Logistic Regression,f1_macro,0.9392835872816161,0.01874624739196718
5,50,False,25,SVM,recall_macro,0.9385090488947576,0.017941913574041162
5,50,True,25,Logistic Regression,recall_macro,0.9378327432953354,0.01326747633580373
5,100,False,50,Logistic Regression,accuracy,0.937225806451613,0.01631071862744253
5,50,False,25,Logistic Regression,precision_macro,0.9369376178447549,0.015875804056393977
5,100,False,50,Logistic Regression,f1_macro,0.9352690011737879,0.016690820090801972
5,150,False,75,Logistic Regression,recall_macro,0.9352084342833649,0.019570193390978884
5,50,False,25,Logistic Regression,accuracy,0.9314454183266931,0.01818851745654896
5,100,False,50,Logistic Regression,recall_macro,0.9310454621509632,0.0163188600204449
5,50,False,25,Logistic Regression,f1_macro,0.9292343419378618,0.019075048747925347
5,50,False,25,Logistic Regression,recall_macro,0.9251522986114018,0.020401031222360227
